2017-07-20 02:24:11,658 p=26605 u=ansible |  PLAY [hello ansible ( date ... )] **********************************************
2017-07-20 02:24:11,716 p=26605 u=ansible |  TASK [Gathering Facts] *********************************************************
2017-07-20 02:24:16,058 p=26605 u=ansible |  ok: [node1]
2017-07-20 02:24:16,071 p=26605 u=ansible |  TASK [check id] ****************************************************************
2017-07-20 02:24:16,736 p=26605 u=ansible |  changed: [node1]
2017-07-20 02:24:16,756 p=26605 u=ansible |  TASK [make directory] **********************************************************
2017-07-20 02:24:17,492 p=26605 u=ansible |  ok: [node1]
2017-07-20 02:24:17,503 p=26605 u=ansible |  PLAY RECAP *********************************************************************
2017-07-20 02:24:17,505 p=26605 u=ansible |  node1                      : ok=3    changed=1    unreachable=0    failed=0   
2017-07-20 02:33:23,848 p=26656 u=ansible |  PLAY [hello ansible ( date ... )] **********************************************
2017-07-20 02:33:23,954 p=26656 u=ansible |  TASK [Gathering Facts] *********************************************************
2017-07-20 02:33:30,552 p=26656 u=ansible |  ok: [node1]
2017-07-20 02:33:30,569 p=26656 u=ansible |  TASK [check id] ****************************************************************
2017-07-20 02:33:31,413 p=26656 u=ansible |  changed: [node1]
2017-07-20 02:33:31,447 p=26656 u=ansible |  TASK [make directory] **********************************************************
2017-07-20 02:33:32,375 p=26656 u=ansible |  ok: [node1]
2017-07-20 02:33:32,385 p=26656 u=ansible |  PLAY RECAP *********************************************************************
2017-07-20 02:33:32,386 p=26656 u=ansible |  node1                      : ok=3    changed=1    unreachable=0    failed=0   
2017-07-20 02:35:18,154 p=26697 u=ansible |  PLAY [hello ansible ( date ... )] **********************************************
2017-07-20 02:35:18,215 p=26697 u=ansible |  TASK [Gathering Facts] *********************************************************
2017-07-20 02:35:23,912 p=26697 u=ansible |  ok: [node1]
2017-07-20 02:35:23,928 p=26697 u=ansible |  TASK [check id] ****************************************************************
2017-07-20 02:35:24,707 p=26697 u=ansible |  changed: [node1]
2017-07-20 02:35:24,728 p=26697 u=ansible |  TASK [make directory] **********************************************************
2017-07-20 02:35:25,548 p=26697 u=ansible |  changed: [node1]
2017-07-20 02:35:25,557 p=26697 u=ansible |  PLAY RECAP *********************************************************************
2017-07-20 02:35:25,559 p=26697 u=ansible |  node1                      : ok=3    changed=2    unreachable=0    failed=0   
2017-07-20 02:36:30,546 p=26737 u=ansible |  PLAY [hello ansible ( date ... )] **********************************************
2017-07-20 02:36:30,619 p=26737 u=ansible |  TASK [Gathering Facts] *********************************************************
2017-07-20 02:36:35,830 p=26737 u=ansible |  ok: [node1]
2017-07-20 02:36:35,844 p=26737 u=ansible |  TASK [check id] ****************************************************************
2017-07-20 02:36:36,534 p=26737 u=ansible |  changed: [node1]
2017-07-20 02:36:36,553 p=26737 u=ansible |  TASK [make directory] **********************************************************
2017-07-20 02:36:37,288 p=26737 u=ansible |  ok: [node1]
2017-07-20 02:36:37,297 p=26737 u=ansible |  PLAY RECAP *********************************************************************
2017-07-20 02:36:37,300 p=26737 u=ansible |  node1                      : ok=3    changed=1    unreachable=0    failed=0   
